Lon,Lat
307.4104595,22.80680024
319.144421,22.21190436
330.8770938,20.70987997
342.6089073,18.60310323
352.5493748,15.58769446
360.1028843,12.4190929
4.477720938,11.81801584
16.00591388,6.384934173
30.91124531,-1.917881123
42.04035899,-8.258425424
54.36241467,-14.90034354
68.67363779,-21.38940299
82.78811354,-26.36674864
97.30252772,-29.83187933
111.8190898,-31.78512915
125.9406536,-31.77326799
143.4473031,-29.03718129
156.9781953,-24.79255491
168.5205643,-20.24722295
179.6662168,-14.94628468
194.7929964,-7.374183948
207.9297494,-0.559694235
217.0853753,3.983633025
228.230813,9.133383212
241.3647738,13.98242782
254.4978754,18.22672008
266.037667,20.95779502
284.3388236,22.93860952
301.6414229,22.04601511
314.5659637,19.48667648
325.5006927,16.32091491
342.3984134,10.43877956
356.7107105,4.705660544
9.43012712,-2.238299629
21.35525143,-8.275799525
32.08786331,-13.70954943
44.01384678,-19.14229698
61.50674977,-26.08224775
82.58277458,-30.90255826
100.0831952,-32.55092604
119.1807921,-29.96469096
134.1039511,-25.71889517
149.4276928,-19.50732015
164.7527234,-12.38861662
177.6899367,-6.027858224
191.4240199,1.240696921
207.1474853,8.813298824
222.2725467,15.17589487
236.0025488,19.57187639
248.7352824,22.00157751
261.2667581,22.76804263
270.4150811,22.17097499
