t,Angle
0,0
14.24743598,5.492286115
26.21507788,10.59186536
38.15037021,16.65077139
51.2842996,23.16409537
62.0805462,27.00140252
65.69178087,27.91023843
72.94659978,28.76858345
76.57656316,29.12201964
80.21333697,29.27349229
85.07258437,29.17251052
92.36996852,28.76858345
103.3296656,27.75876578
111.8665495,26.59747546
133.8404272,22.96213184
159.4698074,18.92286115
188.7393667,14.93408135
236.2438733,10.18793829
277.6257962,7.007012623
